Symbol,Date,Open,High,Low,Close,Volume,Amount,PctChange,Turnover,Source
002415,2026-06-01,30.56,30.76,30.01,30.06,707627,2145921550.73,-1.64,0.78,baostock
002415,2026-06-02,30.11,30.96,30.0,30.75,747356,2272434740.48,2.3,0.83,baostock
002415,2026-06-03,30.55,31.15,30.28,30.77,585573,1800874251.35,0.07,0.65,baostock
002415,2026-06-04,746.04610354,753.35550364,741.90411015,746.28975021,41257438,1266647252.15,,,baostock
002415,2026-06-05,30.77,31.53,30.51,31.28,761527,2379650205.44,2.12,0.84,baostock
002415,2026-06-08,30.7,31.11,30.1,30.3,681107,2080449478.17,-3.13,0.75,baostock
002415,2026-06-09,30.57,30.83,30.2,30.49,542694,1652717386.72,0.63,0.6,baostock
002415,2026-06-10,735.8129434,743.1223435,733.62012337,740.19858346,44484236,1346163562.72,,,baostock
002415,2026-06-11,30.2,30.3,29.76,29.98,513304,1536863034.31,-1.32,0.57,baostock
002415,2026-06-12,30.25,30.67,30.12,30.24,662501,2013463745.09,0.87,0.73,baostock
002415,2026-06-15,30.6,31.0,30.35,30.71,546377,1675104137.32,1.55,0.6,baostock
002415,2026-06-16,30.78,32.59,30.6,32.2,1057855,3343731925.22,4.85,1.17,baostock
002415,2026-06-17,31.85,32.87,31.7,32.36,805756,2607765210.69,0.5,0.89,baostock
002415,2026-06-18,32.07,32.74,31.45,32.3,824633,2639932965.66,-0.19,0.91,baostock
002415,2026-06-22,32.2,32.9,31.41,32.83,916410,2943360218.79,1.64,1.01,baostock
002415,2026-06-23,792.09532417,801.5975443,764.07595712,765.29419047,68967537,2208908016.01,,,baostock
002415,2026-06-24,31.4,34.49,31.02,34.03,1671709,5542712458.45,8.34,1.85,baostock
002415,2026-06-25,33.9,35.54,33.84,34.44,1475231,5114177376.36,1.2,1.63,baostock
002415,2026-06-26,34.42,34.67,33.25,33.32,784932,2649151670.87,-3.25,0.87,baostock
002415,2026-06-29,33.5,34.26,32.47,32.99,1011854,3372300151.23,-0.99,1.12,baostock
002415,2026-06-30,804.034011,859.09815842,803.54671766,833.2716114,123372197,4238812248.96,,,baostock
